symbol,value
”,0
˜,1
Š,2
ž,3
ž,4
ƒ,5
ƒ,6
›,7
™,8
Œ,9
‹,10
š,11
‚,12
ž,13
›,14
˜,15
€,16
‘,17
™,18
’,19
”,20
Ÿ,21
ž,22
„,23
•,24
™,25
š,26
ž,27
Š,28
—,29
˜,30
…,31
Œ,32
€,33
•,34
‚,35
–,36
•,37
‘,38
Œ,39
Œ,40
‘,41
ž,42
ˆ,43
†,44
Œ,45
ƒ,46
›,47
ˆ,48
Œ,49
…,50
ž,51
€,52
Œ,53
‰,54
€,55
€,56
‘,57
™,58
ž,59
…,60
‘,61
€,62
…,63
›,64
Ž,65
ž,66
™,67
“,68
ƒ,69
“,70
ˆ,71
”,72
—,73
’,74
Œ,75
’,76
—,77
ˆ,78
˜,79
‹,80
€,81
Œ,82
–,83
ˆ,84
•,85
‚,86
™,87
‹,88
Ž,89
Œ,90
“,91
€,92
€,93
’,94
š,95
ˆ,96
‹,97
Œ,98
€,99
ˆ,100
˜,101
…,102
ž,103
•,104
ˆ,105
…,106
‚,107
—,108
†,109
‡,110
†,111
…,112
˜,113
ž,114
‰,115
Ž,116
ƒ,117
„,118
ž,119
‹,120
š,121
Ÿ,122
‘,123
Ÿ,124
›,125
—,126
‘,127
‰,128
‡,129
‹,130
’,131
Œ,132
€,133
—,134
ž,135
˜,136
”,137
–,138
ƒ,139
•,140
—,141
‰,142
˜,143
—,144
“,145
Ž,146
˜,147
…,148
Ž,149
„,150
ž,151
ƒ,152
€,153
‰,154
™,155
ƒ,156
”,157
•,158
Ž,159
ž,160
€,161
›,162
‚,163
Ÿ,164
Ÿ,165
’,166
˜,167
€,168
”,169
Ÿ,170
”,171
‡,172
™,173
š,174
š,175
“,176
™,177
Ž,178
”,179
•,180
€,181
“,182
‡,183
“,184
„,185
„,186
Ž,187
›,188
‹,189
™,190
ˆ,191
™,192
–,193
„,194
‘,195
‘,196
…,197
Ÿ,198
™,199
–,200
—,201
œ,202
™,203
”,204
™,205
ˆ,206
™,207
š,208
›,209
‹,210
‹,211
™,212
€,213
Œ,214
‡,215
Ž,216
Œ,217
š,218
˜,219
—,220
˜,221
—,222
†,223
Ž,224
’,225
…,226
‰,227
‡,228
‡,229
†,230
Œ,231
›,232
–,233
–,234
‰,235
™,236
ž,237
—,238
€,239
Œ,240
š,241
…,242
ž,243
Š,244
†,245
ž,246
‹,247
‚,248
™,249
—,250
™,251
•,252
‹,253
›,254
‡,255
ƒ,256
„,257
‘,258
„,259
‹,260
Œ,261
ˆ,262
†,263
•,264
€,265
–,266
…,267
Š,268
„,269
”,270
š,271
–,272
š,273
…,274
…,275
“,276
‡,277
ˆ,278
œ,279
™,280
†,281
–,282
‘,283
‰,284
‡,285
‰,286
‚,287
Œ,288
š,289
‘,290
†,291
ƒ,292
Ž,293
‘,294
•,295
€,296
€,297
€,298
…,299
—,300
“,301
„,302
Ž,303
†,304
€,305
Š,306
„,307
‡,308
ƒ,309
—,310
Ÿ,311
‰,312
™,313
•,314
’,315
Ÿ,316
ƒ,317
ˆ,318
ˆ,319
‡,320
Œ,321
Ÿ,322
™,323
š,324
”,325
‡,326
…,327
ž,328
’,329
’,330
—,331
”,332
ž,333
Ÿ,334
‚,335
–,336
™,337
ˆ,338
•,339
†,340
•,341
‡,342
ˆ,343
‡,344
‡,345
‘,346
‹,347
‡,348
Ÿ,349
”,350
€,351
€,352
š,353
’,354
Š,355
‡,356
Š,357
†,358
˜,359
–,360
ž,361
—,362
—,363
ž,364
‘,365
ƒ,366
‹,367
ƒ,368
‡,369
Œ,370
’,371
“,372
š,373
”,374
ˆ,375
’,376
•,377
„,378
•,379
™,380
…,381
ƒ,382
Ÿ,383
˜,384
†,385
Œ,386
‘,387
’,388
˜,389
‰,390
…,391
‘,392
Œ,393
–,394
’,395
Š,396
‚,397
€,398
•,399
„,400
‘,401
†,402
Ÿ,403
ž,404
‚,405
ƒ,406
…,407
™,408
›,409
Š,410
‰,411
Ÿ,412
“,413
”,414
’,415
Ž,416
‹,417
“,418
Ž,419
˜,420
›,421
‰,422
–,423
Œ,424
š,425
™,426
š,427
Š,428
Ÿ,429
”,430
†,431
˜,432
™,433
Œ,434
Ž,435
”,436
€,437
›,438
ƒ,439
…,440
Š,441
ž,442
Ž,443
ž,444
’,445
Š,446
•,447
‰,448
’,449
š,450
ž,451
•,452
‚,453
š,454
…,455
’,456
…,457
™,458
‹,459
Œ,460
˜,461
”,462
‰,463
‰,464
†,465
Š,466
„,467
Ÿ,468
…,469
–,470
†,471
š,472
Ÿ,473
š,474
€,475
“,476
†,477
“,478
•,479
—,480
•,481
’,482
•,483
Œ,484
’,485
”,486
›,487
–,488
“,489
—,490
‡,491
›,492
Ÿ,493
…,494
”,495
›,496
˜,497
„,498
“,499
